numero_reg,tipo,ente,oggetto,data_pubblicazione,data_scadenza,link_dettaglio,allegati,data_pubblicazione_normalizzata,data_scadenza_normalizzata
0305/2024,Determine Dirigenziali,Comune di SQUILLACE,"Liquidazione di Spesa - “Servizio di conduzione, manutenzione, controllo e custodia degli impianti di depurazione (Donnatolla, Madonna del Ponte, Poveromo e Fiasco Baldaia) e delle stazioni di sollevamento della rete fognaria (n° 7 di cui n° 2 capoluogo, n° 4 frazione marina, n° 1 Fiasco Baldaia)”. Canone mese di Marzo 2024.-",05/04/2024,20/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=5120414&sez=&data1=05/04/2024&data2=20/04/2024,allegati/fonte1/0305/2024/- Det_n°210_del_04.04.2024.pdf,2024-04-05,2024-04-20
0304/2024,Stato Civile - Pubb. di matrimonio,Comune di SQUILLACE,Atto di pubblicazione di matrimonio - Sposi: Mancuso-Gualtieri,05/04/2024,13/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=5110406&sez=&data1=05/04/2024&data2=13/04/2024,allegati/fonte1/0304/2024/- Atto n. 2 P.I.pdf,2024-04-05,2024-04-13
0303/2024,avvisi vari,Comune di SQUILLACE,"SELEZIONE PUBBLICA,PER TITOLI ED ESAMI, PER LA COPERTURA DI N. 2 POSTI PART-TIME DI "" ISTRUTTORE DI VIGILANZA"" - CATEGORIA GIURIDICA C - POSIZIONE ECONOMICA C1.",05/04/2024,20/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=5100410&sez=&data1=05/04/2024&data2=20/04/2024,allegati/fonte1/0303/2024/- AVVISO RIINVIO PROVA ORALE.pdf,2024-04-05,2024-04-20
0302/2024,Ordinanze,Comune di SQUILLACE,"Ordinanza sindacale per la rimozione e losmaltimento di un tetto in eternit, immobile sito in squillace via Porta Giudaica -.",05/04/2024,04/06/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=5100436&sez=&data1=05/04/2024&data2=04/06/2024,allegati/fonte1/0302/2024/- Ordinanza n. 10-2024.pdf,2024-04-05,2024-06-04
0301/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione fatture Società Pubblialifana srl.-,04/04/2024,19/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=4130430&sez=&data1=04/04/2024&data2=19/04/2024,allegati/fonte1/0301/2024/- Det_n°_211_del_04.04.2024.pdf,2024-04-04,2024-04-19
0300/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa fatture varie 2023/2024 - Fornitura energia elettrica Pubblica Illuminazione HERA COMM s.r.l.,04/04/2024,19/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=4120403&sez=&data1=04/04/2024&data2=19/04/2024,allegati/fonte1/0300/2024/- Det_n°197_del_02.04.2024.pdf,2024-04-04,2024-04-19
0299/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa fatture varie 2023/2024 - Fornitura energia elettrica Pubblica Illuminazione HERA COMM s.r.l..-,04/04/2024,19/04/2024,,,2024-04-04,2024-04-19
Pubblicazione Annullata N.Reg0299/2024Data Annullamento :04/04/2024Motivazione :Errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0298/2024,Determine Dirigenziali,Comune di SQUILLACE,"Affidamento dell’incarico professionale relativo alla progettazione definitiva, esecutiva e coordinamento della sicurezza in fase di progettazione per i lavori di Riqualificazione ed Efficientamento Energetico degli immobili di proprietà comunale.-",04/04/2024,19/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=4120440&sez=&data1=04/04/2024&data2=19/04/2024,allegati/fonte1/0298/2024/- Det_n° 194_del_29.03.2024.pdf,2024-04-04,2024-04-19
0297/2024,Determine Dirigenziali,Comune di SQUILLACE,Supporto settore finanziario.-,04/04/2024,19/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=4110420&sez=&data1=04/04/2024&data2=19/04/2024,allegati/fonte1/0297/2024/- Det_n°209_del_04.04.2024.pdf,2024-04-04,2024-04-19
0296/2024,avvisi vari,Comune di SQUILLACE,"Progetti di utilità Collettiva - P.U.C.
Avviso/Istanze: ""Mi prendo cura degli anziani""-.",04/04/2024,14/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=4090402&sez=&data1=04/04/2024&data2=14/04/2024,allegati/fonte1/0296/2024/- Prot. n. 2671.pdf,2024-04-04,2024-04-14
0295/2024,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa - Fornitura di materiale per lavori di manutenzione ordinaria in amministrazione diretta.-,04/04/2024,19/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=4090433&sez=&data1=04/04/2024&data2=19/04/2024,allegati/fonte1/0295/2024/- Det_n° 207_del_03.04.2024.pdf,2024-04-04,2024-04-19
0294/2024,Determine Dirigenziali,Comune di SQUILLACE,"Lavori di “Riqualificazione e messa in sicurezza di via Fuori le Porte”.
Determina a contrarre per l’affidamento dei servizi tecnici per direzione lavori,contabilità, misura, certificato di regolare esecuzione e coordinamento della sicurezza in fase di esecuzione, nonchè approvazione dello schema di convenzione.-",03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3160442&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0294/2024/- Det._n.201_del_02.04.24.pdf,2024-04-03,2024-04-18
0293/2024,Delibere di giunta,Comune di SQUILLACE,"Approvazione Piano Operativo iniziativa ""BenessereinComune"" con il contributo della Presidenza del Consiglio dei Ministri - Dipartimento per le politiche della famiglia.-",03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3120449&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0293/2024/- Del_G.C._n°38_del_03.04.2024.pdf,2024-04-03,2024-04-18
0292/2024,Delibere di giunta,Comune di SQUILLACE,Gestione del Castello Normanno-Svevo - Linee di indirizzo.-,03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3120453&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0292/2024/- Del_G.C._n°32_del_15.03.2024.pdf,2024-04-03,2024-04-18
0291/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione compensi professionali. Sentenza n° 89/2023 emessa dal Consiglio di Stato.-,03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3110438&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0291/2024/- Det_n° 206_del_03.04.2023.pdf,2024-04-03,2024-04-18
0290/2024,Determine Dirigenziali,Comune di SQUILLACE,Agenzia delle Entrate - avviso di pagamento 2012/005/OR/000000682/0/004,03/04/2024,18/04/2024,,,2024-04-03,2024-04-18
Pubblicazione Annullata N.Reg0290/2024Data Annullamento :03/04/2024Motivazione :Errore MaterialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0289/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa – Fornitura di dieci neon a led.-,03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3100420&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0289/2024/- Det_n° 205_del_03.04.2024.pdf,2024-04-03,2024-04-18
0288/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa – Per un intervento di stasatura rete reflui - Ditta Sandro Greco srl.-,03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3100408&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0288/2024/- Det_n°_202_del_02.04.2024.pdf,2024-04-03,2024-04-18
0287/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa - Intervento di stasatura rete reflui - Ditta Sandro Greco srl.-,03/04/2024,18/04/2024,,,2024-04-03,2024-04-18
Pubblicazione Annullata N.Reg0287/2024Data Annullamento :03/04/2024Motivazione :ERRORE MATERIALEResponsabile:Giuseppina Riccelli,,,,,,,,,
0286/2024,Determine Dirigenziali,Comune di SQUILLACE,"Lavori di manutenzione straordinaria per lo smontaggio di n° 4 pensiline, site rispettivamente n° 2 in Squillace centro e n° 2 a Squillace Lido, e il rimontaggio di n° 2 pensiline a Squillace Lido.-",03/04/2024,18/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=3090406&sez=&data1=03/04/2024&data2=18/04/2024,allegati/fonte1/0286/2024/- Det_n° 199_del_02.04.2024.pdf,2024-04-03,2024-04-18
0285/2024,Determine Dirigenziali,Comune di SQUILLACE,"Lavori di “Riqualificazione e messa in sicurezza di via Fuori le Porte”. Determina a contrarre per affidamento lavori, mediante Piattaforma Telematica TuttoGare del Comune di Squillace, ai sensi dell’art. 50, co. 1, lett. a) del D.Lgs n° 36/2023. Approvazione schema lettera di invito e disciplinare di gara.-",02/04/2024,17/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=2170459&sez=&data1=02/04/2024&data2=17/04/2024,"allegati/fonte1/0285/2024/- Determina a contrarre.pdf,allegati/fonte1/0285/2024/- Schema Lettera d'invito e Disciplinare di gara.pdf,allegati/fonte1/0285/2024/- Allegato A.pdf,allegati/fonte1/0285/2024/- Allegato C.pdf,allegati/fonte1/0285/2024/- Allegato D - Autonoma presa visione luoghi.pdf",2024-04-02,2024-04-17
0284/2024,Determine Dirigenziali,Comune di SQUILLACE,Agenzia delle entrate - avviso di pagamento 2021/005/DI/000000160/0/001.-,02/04/2024,17/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=2120437&sez=&data1=02/04/2024&data2=17/04/2024,allegati/fonte1/0284/2024/- Det_n° 196_del_02.04.2024.pdf,2024-04-02,2024-04-17
0283/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di Spesa - Servizi di igiene urbana e raccolta differenziata dei rifiuti solidi urbani e assimilati con il sistema porta a porta. Canone mese di Marzo 2024.,02/04/2024,17/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=2110411&sez=&data1=02/04/2024&data2=17/04/2024,allegati/fonte1/0283/2024/- Det_n° 195_del_02.04.2024.pdf,2024-04-02,2024-04-17
0282/2024,Determine Dirigenziali,Comune di SQUILLACE,Ricorsi vari presso la Corte di Giustizia Tributaria -,29/03/2024,13/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=29100345&sez=&data1=29/03/2024&data2=13/04/2024,allegati/fonte1/0282/2024/- Det_n° 187_del_27.03.2024.pdf,2024-03-29,2024-04-13
0281/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa – Lavori per la manutenzione straordinaria per riparazione di tratti della rete idrica.-,29/03/2024,13/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=29090312&sez=&data1=29/03/2024&data2=13/04/2024,allegati/fonte1/0281/2024/- Det_n° 191_del_29.03.2024.pdf,2024-03-29,2024-04-13
0280/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa. Fornitura e posa in opera di n.3 tapparelle in alluminio e riparazione di maniglie.-,29/03/2024,13/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=29090349&sez=&data1=29/03/2024&data2=13/04/2024,allegati/fonte1/0280/2024/- Det_n° 190_del_29.03.2024.pdf,2024-03-29,2024-04-13
0279/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa – Lavori di manutenzione ordinaria agli impianti comunali di pubblica illuminazione.-,28/03/2024,12/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=28110304&sez=&data1=28/03/2024&data2=12/04/2024,allegati/fonte1/0279/2024/- Det_n° 186_del_27.03.2024.pdf,2024-03-28,2024-04-12
0278/2024,Delibere di giunta,Comune di SQUILLACE,Approvazione dello schema del bilancio di previsione finanziario 2024-2026.-,28/03/2024,12/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=28100318&sez=&data1=28/03/2024&data2=12/04/2024,allegati/fonte1/0278/2024/- Del_n°37_del_27.03.2024.pdf,2024-03-28,2024-04-12
0277/2024,Delibere di giunta,Comune di SQUILLACE,Presentazione - Nota di aggiornamento al Documento Unico di Programmazione - Periodo 2024-2025.-,28/03/2024,12/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=28100327&sez=&data1=28/03/2024&data2=12/04/2024,allegati/fonte1/0277/2024/- Del.G.C.n°30_del 15.03.2024.pdf,2024-03-28,2024-04-12
0276/2024,Determine Dirigenziali,Comune di SQUILLACE,"Programma Borgovivo: Cultura, Tradizione ed Innovazione.- 
Liquidazione ASMEL Società Consortile arl fattura n° 0178/PA del 13 marzo 2023.-",28/03/2024,12/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=28090302&sez=&data1=28/03/2024&data2=12/04/2024,allegati/fonte1/0276/2024/- Det_n° 185_del_27.03.2024.pdf,2024-03-28,2024-04-12
0275/2024,Determine Dirigenziali,Comune di SQUILLACE,"Programma Borgovivo: Cultura, Tradizione ed Innovazione. Liquidazione Asmel Società Consortile arl fattura n° 0178/PA del 13 marzo 2023.-",28/03/2024,12/04/2024,,,2024-03-28,2024-04-12
Pubblicazione Annullata N.Reg0275/2024Data Annullamento :28/03/2024Motivazione :errore materialeResponsabile:Giuseppina Riccelli,,,,,,,,,
0274/2024,avvisi vari,Comune di SQUILLACE,Avviso di deposito di atti nella casa comunale ex art. 143 cpc -,27/03/2024,16/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=27130348&sez=&data1=27/03/2024&data2=16/04/2024,allegati/fonte1/0274/2024/- Prot. n. 2439.pdf,2024-03-27,2024-04-16
0273/2024,Delibere di giunta,Comune di SQUILLACE,Tariffe relative al Servizio Idrico Integrato - Anno 2024. Conferma.-,27/03/2024,11/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=27120350&sez=&data1=27/03/2024&data2=11/04/2024,allegati/fonte1/0273/2024/- Del_G.C._n°_26_del_15.03.2024.pdf,2024-03-27,2024-04-11
0272/2024,Delibere di giunta,Comune di SQUILLACE,Legge n. 234/2021 art.1 comma 172; fondo di solidarietà comunale - Risorse aggiuntive. Determinazioni.-,27/03/2024,11/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=27110310&sez=&data1=27/03/2024&data2=11/04/2024,allegati/fonte1/0272/2024/- Del_G.C._n°_31_del_15.03.2024.pdf,2024-03-27,2024-04-11
0271/2024,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa ed affidamento intervento di stasatura rete reflui - Ditta Sandro Greco srl.-,27/03/2024,11/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=27090332&sez=&data1=27/03/2024&data2=11/04/2024,allegati/fonte1/0271/2024/- Det_n°183_del_26.03.2024.pdf,2024-03-27,2024-04-11
0270/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa - Lavori di manutenzione straordinaria per la realizzazione di una nuova pendenza in Piazza Risorgimento a Squillace - Ditta Stilo Edil snc -,26/03/2024,10/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=26120327&sez=&data1=26/03/2024&data2=10/04/2024,allegati/fonte1/0270/2024/- Det_n°184_del_26.03.2024.pdf,2024-03-26,2024-04-10
0269/2024,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa - Determina a contrarre e contestuale per la sostituzione dell' impianto frenante fiat tipo targato YA741AG -autofficina Accorinti.-,26/03/2024,10/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=26110323&sez=&data1=26/03/2024&data2=10/04/2024,allegati/fonte1/0269/2024/- DET.N.177_2024 .pdf,2024-03-26,2024-04-10
0268/2024,Determine Dirigenziali,Comune di SQUILLACE,"Progetto denominato Ecomuseo della Memoria: la Calabria di Ulisse, Cassiodoro racconta.- Legge n° 18 del 27/02/2017 - Liquidazione commissione di gara.",26/03/2024,10/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=26100334&sez=&data1=26/03/2024&data2=10/04/2024,allegati/fonte1/0268/2024/- Det_n° 182_del_26.03.2024.pdf,2024-03-26,2024-04-10
0267/2024,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa ed affidamento per il servizio di derattizzazione (Pest Control).-,26/03/2024,10/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=26100345&sez=&data1=26/03/2024&data2=10/04/2024,allegati/fonte1/0267/2024/- Det_n° 180_del_26.03.2024.pdf,2024-03-26,2024-04-10
0266/2024,Determine Dirigenziali,Comune di SQUILLACE,"Liquidazione di spesa - Lavori di manutenzione straordinaria per la sistemazione, riverniciatura ed eventuale sostituzione di listelli di panchine di questo Comune - Ditta Stilo Edil snc.-",26/03/2024,10/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=26090353&sez=&data1=26/03/2024&data2=10/04/2024,allegati/fonte1/0266/2024/- Det_n°181_del_26.03.2024.pdf,2024-03-26,2024-04-10
0265/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa - Intervento di stasatura rete reflui - Ditta Sandro Greco srl.-,26/03/2024,10/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=26090348&sez=&data1=26/03/2024&data2=10/04/2024,allegati/fonte1/0265/2024/- Det_n°178_del_25.03.2024.pdf,2024-03-26,2024-04-10
0264/2024,Delibere di giunta,Comune di SQUILLACE,"Approvazione ed adozione “Regolamento comunale per l’affidamento, mediante procedura sottosoglia, di lavori, beni e servizi”.",25/03/2024,24/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=25090334&sez=&data1=25/03/2024&data2=24/04/2024,"allegati/fonte1/0264/2024/- Del_G.C._n°56_del_15.03.2024.pdf,allegati/fonte1/0264/2024/- Regolamento O.E..pdf",2024-03-25,2024-04-24
0263/2024,avvisi vari,Comune di SQUILLACE,"Manifestazione d’interesse nella Concessione Demaniale stagionale per installazione campo boe, per rimessaggio barche da diporto nautico con Punto di Ormeggio ed annesso corridoio di lancio (Periodo dal 01/06/2024 - al 30/09/2024)",23/03/2024,22/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=23140308&sez=&data1=23/03/2024&data2=22/04/2024,allegati/fonte1/0263/2024/- Avviso pubblicazione Manifestazione interesse.pdf,2024-03-23,2024-04-22
0262/2024,Bandi di gara - Esiti gare e appalti,Comune di SQUILLACE,"Manifestazione d’interesse nella Concessione Demaniale stagionale per installazione campo boe, per rimessaggio barche da diporto nautico con Punto di Ormeggio ed annesso corridoio di lancio (Periodo dal 01/06/2024 - al 30/09/2024)",23/03/2024,22/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=23140344&sez=&data1=23/03/2024&data2=22/04/2024,allegati/fonte1/0262/2024/- Avviso pubblicazione Manifestazione interesse.pdf,2024-03-23,2024-04-22
0261/2024,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa ed affidamento intervento di stasatura rete reflui - Ditta Sandro Greco srl.-,22/03/2024,06/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=22110350&sez=&data1=22/03/2024&data2=06/04/2024,allegati/fonte1/0261/2024/- Det_n°176_del_21.03.2024.pdf,2024-03-22,2024-04-06
0260/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa - Acquisto di attrezzature varie per l’istituto comprensivo di Squillace –,22/03/2024,06/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=22100353&sez=&data1=22/03/2024&data2=06/04/2024,allegati/fonte1/0260/2024/- Det_n°175_del_21.03.2024.pdf,2024-03-22,2024-04-06
0259/2024,Determine Dirigenziali,Comune di SQUILLACE,Acquisto di dispositivo PC.-,22/03/2024,06/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=22080304&sez=&data1=22/03/2024&data2=06/04/2024,allegati/fonte1/0259/2024/- Det_n°170_del_21.03.2024.pdf,2024-03-22,2024-04-06
0258/2024,Determine Dirigenziali,Comune di SQUILLACE,Impegno di spesa ed affidamento lavori per la manutenzione straordinaria per riparazione di tratti della rete idrica.-,21/03/2024,05/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21120304&sez=&data1=21/03/2024&data2=05/04/2024,allegati/fonte1/0258/2024/- Det_n° 172_del_21.03.2024.pdf,2024-03-21,2024-04-05
0257/2024,Determine Dirigenziali,Comune di SQUILLACE,Interventi di manutenzione straordinaria di riparazione rete idrica in prossimità del cimitero comunale.-,21/03/2024,05/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21120312&sez=&data1=21/03/2024&data2=05/04/2024,allegati/fonte1/0257/2024/- Det_n°174_del_21.03.2024.pdf,2024-03-21,2024-04-05
0256/2024,avvisi vari,Comune di SQUILLACE,"Avviso pubblico per l'acquisizione di manifestazioni d'interesse a partecipare all'intervento ""BenessereInComune"" -.",21/03/2024,28/03/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21100328&sez=&data1=21/03/2024&data2=28/03/2024,allegati/fonte1/0256/2024/- Prot. n. 2230.pdf,2024-03-21,2024-03-28
0255/2024,Determine Dirigenziali,Comune di SQUILLACE,Liquidazione di spesa - Risanamento rete reflui urbani in via Damiano Assanti.-,21/03/2024,05/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21090304&sez=&data1=21/03/2024&data2=05/04/2024,allegati/fonte1/0255/2024/- Det_n°169_del_20.03.2024.pdf,2024-03-21,2024-04-05
0254/2024,Determine Dirigenziali,Comune di SQUILLACE,"Ampliamento del Cimitero comunale -  I lotto funzionale.-
Liquidazione 1° SAL.-",21/03/2024,05/04/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21090347&sez=&data1=21/03/2024&data2=05/04/2024,allegati/fonte1/0254/2024/- Det_n° 168_del_20.03.2024.pdf,2024-03-21,2024-04-05
0253/2024,Determine Dirigenziali,Comune di SQUILLACE,Realizzazione rete LAN ... Atto di liquidazione -.,21/03/2024,31/03/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21090305&sez=&data1=21/03/2024&data2=31/03/2024,allegati/fonte1/0253/2024/- Det. n. 147_24.pdf,2024-03-21,2024-03-31
0252/2024,Determine Dirigenziali,Comune di SQUILLACE,Legge 448/85 Fornitura libri di testo a. s. 2023/2024 - Atto di liquidazione -.,21/03/2024,31/03/2024,http://albosquillace.asmenet.it/allegati.php?id_doc=21090332&sez=&data1=21/03/2024&data2=31/03/2024,allegati/fonte1/0252/2024/- Det. n. 101_24.pdf,2024-03-21,2024-03-31
